epochTime, takeoff, landing, flyover
1622325600, 69, 24, 496
1622412000, 69, 23, 456
1622498400, 61, 23, 504
1622584800, 87, 65, 497
1622671200, 66, 65, 425
1622757600, 81, 83, 490
1622844000, 92, 91, 531
1622930400, 100, 104, 596
1623016800, 76, 60, 520
1623103200, 60, 37, 465
1623189600, 72, 76, 441
1623276000, 82, 87, 488
1623362400, 93, 93, 478
1623448800, 88, 89, 485
1623535200, 96, 67, 489
1623621600, 81, 79, 447
1623708000, 61, 25, 452
1623794400, 81, 70, 438
1623880800, 91, 104, 452
1623967200, 105, 93, 524
1624053600, 107, 84, 562
1624140000, 109, 88, 468
1624226400, 93, 58, 479
1624312800, 70, 16, 482
1624399200, 95, 12, 548
1624485600, 100, 24, 543
1624572000, 116, 113, 528
1624658400, 95, 58, 578
1624744800, 113, 39, 606
1625090400, 116, 145, 497
1625176800, 169, 165, 575
1625263200, 156, 143, 571
1625349600, 164, 177, 565
1625436000, 158, 120, 567
1625522400, 126, 143, 511
1625608800, 154, 163, 510
1625695200, 158, 158, 572
1625781600, 155, 161, 628
1625868000, 143, 136, 639
1625954400, 151, 160, 624
1626040800, 147, 124, 606
1626127200, 128, 33, 645
1626213600, 138, 31, 637
1626300000, 150, 93, 671
1626386400, 159, 131, 700
1626472800, 147, 38, 731
1626559200, 162, 15, 766
1626645600, 152, 21, 741
1626732000, 122, 19, 725
1626818400, 145, 43, 746
1626904800, 149, 95, 720
1626991200, 156, 26, 792
1627077600, 144, 146, 729
1627164000, 162, 180, 610
1627250400, 159, 160, 559
1627336800, 129, 139, 591
1627423200, 153, 150, 650
1627509600, 150, 156, 659
1627596000, 145, 167, 625
1627682400, 141, 141, 650
1627768800, 163, 177, 772
1627855200, 159, 161, 732
1627941600, 122, 75, 806
1628028000, 150, 67, 826
1628114400, 143, 156, 755
1628200800, 162, 169, 780
1628287200, 151, 154, 724
1628373600, 171, 188, 763
1628460000, 161, 163, 747
1628546400, 139, 147, 703
1628632800, 160, 164, 738
1628719200, 153, 154, 720
1628805600, 176, 183, 799
1628892000, 162, 168, 813
1628978400, 179, 193, 752
1629064800, 169, 168, 731
1629151200, 135, 144, 754
1629237600, 154, 161, 720
1629324000, 153, 155, 761
1629410400, 162, 172, 782
1629496800, 145, 140, 745
1629583200, 156, 165, 768
1629669600, 155, 28, 878
1629756000, 123, 41, 878
1629842400, 147, 81, 830
1629928800, 146, 101, 767
1630015200, 157, 160, 762
1630101600, 132, 39, 792
1630188000, 166, 127, 888
1630274400, 143, 22, 829
1630360800, 77, 7, 549
1630620000, 34, 0, 108
1630706400, 57, 25, 331
